<Do it! 자료구조와 함께 배우는 알고리즘 - C 언어편> 정오표,,,,,,,
,,,,,,,
저자,보요 시바타,,,,,,
담당 편집자,,,,,,,
갱신일,2020-09-03,,,,,,
,,,,,,,
"* 이지스퍼블리싱은 독자가 막힘 없이 책을 읽을 수 있도록 최선을 다하고 있습니다.
  그럼에도 출간 후 발견된 오탈자를 다음처럼 바로 잡습니다. 
  더 꼼꼼하게 만들도록 노력하겠습니다.",,,,,,,
,,,,,,,
구분,쇄 정보,위치,행,수정 전,수정 후,반영 쇄,비고
코드 수정,,p.295,,"if(IsMember(&s, n))","if(IsMember(s, n))",5쇄,IsMember( ... ) 함수는 BitSet.h에 값을 받도록 설계되어 있습니다. 값을 받아야 맞습니다.
오자,5쇄,"p.19
[보충수업1-3]",2행,max3,max,6쇄,
그림 수정,5쇄,"p.200
[두 번째 배열]",,배열에서 9 배경색 제거,배열에서 1 배경색 추가,6쇄,
오자,5쇄,"p. 240
[두 번째 박스]",2행,벙위를,범위를,6쇄,
탈자,5쇄,p.155,코드 56행,p->max);,p->max)]);,6쇄,
탈자,5쇄,p.161,코드 04행,define N 10,# define N 10,6쇄,
오자,5쇄,p.202,코드 04행,"#define swap (type, x, y)","#define swap(type, x, y)",6쇄,swap( )함수의 띄어쓰기를 주의하세요
오자,5쇄,p.231,코드11행,"printf(""%d "", a[i]);","printf(""%d"", a[i]);",6쇄,"""%d"" 입력시 띄어쓰기에 주의하세요."
탈자,5쇄,"p.248
실습 6-13",코드 03행,,#include <stdlib.h> 추가,6쇄,stdlib.h을 추가하세요.
오자,5쇄,"p.122
실습 3-6",코드 25행,"printf(""내림차순으로 입력하세요.\n"", nx);","printf(""내림차순으로 입력하세요.\n"");",6쇄,", nx 삭제"
오자,5쇄,"페이지 289
실습 7-4",코드 24행,"Initialize(&s1, 512); Initialize(&s2, 512); Initialize(&temp 512); ","Initialize(&temp, 512); ",6쇄,", 입력"